% Moku:Go Oscilloscope
% Channel A (Input 1, on), DC, 30 MHz, 1 MOhm, 10 Vpp, 1 x probe attenuation
% Channel B (Input 2, off), DC, 30 MHz, 1 MOhm, 10 Vpp, 1 x probe attenuation
% Time span 4.854 ms, time offset -7.124 ms, Normal acquisition mode, no averaging
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (on) - Square, 164.000 000 Hz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg, duty cycle 50.00 %
% Output 2 (off) - Square, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, duty cycle 50.00 %
% 
% Acquired 2026-04-30 T 15:53:54 +0200
% Time (s), Channel A (Input 1) (V)
5.325216000000e-03, 8.304837e-02
5.330208000000e-03, 8.549097e-02
5.335200000000e-03, 8.549097e-02
5.340192000000e-03, 8.915487e-02
5.345184000000e-03, 9.037616e-02
5.350176000000e-03, 9.159746e-02
5.355168000000e-03, 9.281876e-02
5.360160000000e-03, 9.404006e-02
5.365152000000e-03, 9.648266e-02
5.370144000000e-03, 9.648266e-02
5.375136000000e-03, 9.648266e-02
5.380128000000e-03, 9.892526e-02
5.385120000000e-03, 1.013679e-01
5.390112000000e-03, 1.013679e-01
5.395104000000e-03, 1.025892e-01
5.400096000000e-03, 1.038105e-01
5.405088000000e-03, 1.038105e-01
5.410080000000e-03, 1.050318e-01
5.415072000000e-03, 1.050318e-01
5.420064000000e-03, 1.062531e-01
5.425056000000e-03, 1.062531e-01
5.430048000000e-03, 1.062531e-01
5.435040000000e-03, 1.062531e-01
5.440032000000e-03, 1.074744e-01
5.445024000000e-03, 1.074744e-01
5.450016000000e-03, 1.086957e-01
5.455008000000e-03, 1.086957e-01
5.460000000000e-03, 1.086957e-01
5.464992000000e-03, 1.099170e-01
5.469984000000e-03, 1.099170e-01
5.474976000000e-03, 1.074744e-01
5.479968000000e-03, 1.086957e-01
5.484960000000e-03, 1.062531e-01
5.489952000000e-03, 1.074744e-01
5.494944000000e-03, 1.074744e-01
5.499936000000e-03, 1.062531e-01
5.504928000000e-03, 1.062531e-01
5.509920000000e-03, 1.062531e-01
5.514912000000e-03, 1.062531e-01
5.519904000000e-03, 1.062531e-01
5.524896000000e-03, 1.062531e-01
5.529888000000e-03, 1.025892e-01
5.534880000000e-03, 1.025892e-01
5.539872000000e-03, 1.013679e-01
5.544864000000e-03, 1.001466e-01
5.549856000000e-03, 9.892526e-02
5.554848000000e-03, 9.770396e-02
5.559840000000e-03, 9.770396e-02
5.564832000000e-03, 9.648266e-02
5.569824000000e-03, 9.526136e-02
5.574816000000e-03, 9.404006e-02
5.579808000000e-03, 9.404006e-02
5.584800000000e-03, 9.404006e-02
5.589792000000e-03, 9.281876e-02
5.594784000000e-03, 9.159746e-02
5.599776000000e-03, 9.159746e-02
5.604768000000e-03, 8.793357e-02
5.609760000000e-03, 8.793357e-02
5.614752000000e-03, 8.671227e-02
5.619744000000e-03, 8.426967e-02
5.624736000000e-03, 8.304837e-02
5.629728000000e-03, 8.182707e-02
5.634720000000e-03, 7.938447e-02
5.639712000000e-03, 7.938447e-02
5.644704000000e-03, 7.694187e-02
5.649696000000e-03, 7.449927e-02
5.654688000000e-03, 7.327797e-02
5.659680000000e-03, 7.205667e-02
5.664672000000e-03, 6.961407e-02
5.669664000000e-03, 6.839277e-02
5.674656000000e-03, 6.595017e-02
5.679648000000e-03, 6.350758e-02
5.684640000000e-03, 6.350758e-02
5.689632000000e-03, 5.984368e-02
5.694624000000e-03, 5.740108e-02
5.699616000000e-03, 5.740108e-02
5.704608000000e-03, 5.495848e-02
5.709600000000e-03, 5.251588e-02
5.714592000000e-03, 5.129458e-02
5.719584000000e-03, 4.885198e-02
5.724576000000e-03, 4.640938e-02
5.729568000000e-03, 4.396678e-02
5.734560000000e-03, 4.152418e-02
5.739552000000e-03, 4.030288e-02
5.744544000000e-03, 3.786029e-02
5.749536000000e-03, 3.541769e-02
5.754528000000e-03, 3.297509e-02
5.759520000000e-03, 3.053249e-02
5.764512000000e-03, 2.808989e-02
5.769504000000e-03, 2.686859e-02
5.774496000000e-03, 2.442599e-02
5.779488000000e-03, 2.198339e-02
5.784480000000e-03, 1.954079e-02
5.789472000000e-03, 1.831949e-02
5.794464000000e-03, 1.465559e-02
5.799456000000e-03, 1.465559e-02
5.804448000000e-03, 1.099170e-02
5.809440000000e-03, 7.327797e-03
5.814432000000e-03, 6.106498e-03
5.819424000000e-03, 3.663899e-03
5.824416000000e-03, 2.442599e-03
5.829408000000e-03, 0.000000e+00
5.834400000000e-03, -2.442599e-03
5.839392000000e-03, -3.663899e-03
5.844384000000e-03, -7.327797e-03
5.849376000000e-03, -7.327797e-03
5.854368000000e-03, -9.770396e-03
5.859360000000e-03, -1.221300e-02
5.864352000000e-03, -1.343429e-02
5.869344000000e-03, -1.343429e-02
5.874336000000e-03, -1.587689e-02
5.879328000000e-03, -1.831949e-02
5.884320000000e-03, -2.076209e-02
5.889312000000e-03, -2.198339e-02
5.894304000000e-03, -2.320469e-02
5.899296000000e-03, -2.686859e-02
5.904288000000e-03, -2.808989e-02
5.909280000000e-03, -3.053249e-02
5.914272000000e-03, -3.175379e-02
5.919264000000e-03, -3.419639e-02
5.924256000000e-03, -3.419639e-02
5.929248000000e-03, -3.663899e-02
5.934240000000e-03, -3.908158e-02
5.939232000000e-03, -3.908158e-02
5.944224000000e-03, -4.030288e-02
5.949216000000e-03, -4.152418e-02
5.954208000000e-03, -4.152418e-02
5.959200000000e-03, -4.518808e-02
5.964192000000e-03, -4.518808e-02
5.969184000000e-03, -4.640938e-02
5.974176000000e-03, -4.763068e-02
5.979168000000e-03, -4.885198e-02
5.984160000000e-03, -5.007328e-02
5.989152000000e-03, -5.007328e-02
5.994144000000e-03, -5.251588e-02
5.999136000000e-03, -5.251588e-02
6.004128000000e-03, -5.251588e-02
6.009120000000e-03, -5.251588e-02
6.014112000000e-03, -5.495848e-02
6.019104000000e-03, -5.373718e-02
6.024096000000e-03, -5.617978e-02
6.029088000000e-03, -5.495848e-02
6.034080000000e-03, -5.740108e-02
6.039072000000e-03, -5.617978e-02
6.044064000000e-03, -5.617978e-02
6.049056000000e-03, -5.617978e-02
6.054048000000e-03, -5.740108e-02
6.059040000000e-03, -5.740108e-02
6.064032000000e-03, -5.862238e-02
6.069024000000e-03, -5.740108e-02
6.074016000000e-03, -5.740108e-02
6.079008000000e-03, -5.740108e-02
6.084000000000e-03, -5.740108e-02
6.088992000000e-03, -5.740108e-02
6.093984000000e-03, -5.984368e-02
6.098976000000e-03, -5.740108e-02
6.103968000000e-03, -5.740108e-02
6.108960000000e-03, -5.495848e-02
6.113952000000e-03, -5.495848e-02
6.118944000000e-03, -5.251588e-02
6.123936000000e-03, -5.251588e-02
6.128928000000e-03, -5.251588e-02
6.133920000000e-03, -5.251588e-02
6.138912000000e-03, -5.373718e-02
6.143904000000e-03, -5.251588e-02
6.148896000000e-03, -5.251588e-02
6.153888000000e-03, -5.251588e-02
6.158880000000e-03, -5.007328e-02
6.163872000000e-03, -5.007328e-02
6.168864000000e-03, -5.007328e-02
6.173856000000e-03, -4.763068e-02
6.178848000000e-03, -4.640938e-02
6.183840000000e-03, -4.518808e-02
6.188832000000e-03, -4.518808e-02
6.193824000000e-03, -4.396678e-02
6.198816000000e-03, -4.030288e-02
6.203808000000e-03, -3.908158e-02
6.208800000000e-03, -3.908158e-02
6.213792000000e-03, -3.663899e-02
6.218784000000e-03, -3.541769e-02
6.223776000000e-03, -3.297509e-02
6.228768000000e-03, -3.175379e-02
6.233760000000e-03, -3.053249e-02
6.238752000000e-03, -2.931119e-02
6.243744000000e-03, -2.686859e-02
6.248736000000e-03, -2.686859e-02
6.253728000000e-03, -2.198339e-02
6.258720000000e-03, -2.076209e-02
6.263712000000e-03, -1.954079e-02
6.268704000000e-03, -1.709819e-02
6.273696000000e-03, -1.587689e-02
6.278688000000e-03, -1.343429e-02
6.283680000000e-03, -1.221300e-02
6.288672000000e-03, -1.099170e-02
6.293664000000e-03, -7.327797e-03
6.298656000000e-03, -6.106498e-03
6.303648000000e-03, -2.442599e-03
6.308640000000e-03, 0.000000e+00
6.313632000000e-03, 2.442599e-03
6.318624000000e-03, 3.663899e-03
6.323616000000e-03, 4.885198e-03
6.328608000000e-03, 7.327797e-03
6.333600000000e-03, 8.549097e-03
6.338592000000e-03, 1.221300e-02
6.343584000000e-03, 1.343429e-02
6.348576000000e-03, 1.465559e-02
6.353568000000e-03, 1.831949e-02
6.358560000000e-03, 1.954079e-02
6.363552000000e-03, 2.076209e-02
6.368544000000e-03, 2.320469e-02
6.373536000000e-03, 2.564729e-02
6.378528000000e-03, 2.686859e-02
6.383520000000e-03, 3.053249e-02
6.388512000000e-03, 3.297509e-02
6.393504000000e-03, 3.541769e-02
6.398496000000e-03, 3.786029e-02
6.403488000000e-03, 3.908158e-02
6.408480000000e-03, 4.152418e-02
6.413472000000e-03, 4.274548e-02
6.418464000000e-03, 4.640938e-02
6.423456000000e-03, 4.763068e-02
6.428448000000e-03, 4.885198e-02
6.433440000000e-03, 5.129458e-02
6.438432000000e-03, 5.251588e-02
6.443424000000e-03, 5.495848e-02
6.448416000000e-03, 5.740108e-02
6.453408000000e-03, 5.984368e-02
6.458400000000e-03, 5.984368e-02
6.463392000000e-03, 6.228628e-02
6.468384000000e-03, 6.472887e-02
6.473376000000e-03, 6.717147e-02
6.478368000000e-03, 6.717147e-02
6.483360000000e-03, 6.961407e-02
6.488352000000e-03, 7.205667e-02
6.493344000000e-03, 7.083537e-02
6.498336000000e-03, 7.449927e-02
6.503328000000e-03, 7.572057e-02
6.508320000000e-03, 7.816317e-02
6.513312000000e-03, 7.816317e-02
6.518304000000e-03, 8.304837e-02
6.523296000000e-03, 8.426967e-02
6.528288000000e-03, 8.426967e-02
6.533280000000e-03, 8.549097e-02
6.538272000000e-03, 8.671227e-02
6.543264000000e-03, 8.915487e-02
6.548256000000e-03, 9.037616e-02
6.553248000000e-03, 9.281876e-02
6.558240000000e-03, 9.404006e-02
6.563232000000e-03, 9.526136e-02
6.568224000000e-03, 9.526136e-02
6.573216000000e-03, 9.648266e-02
6.578208000000e-03, 9.648266e-02
6.583200000000e-03, 1.001466e-01
6.588192000000e-03, 1.001466e-01
6.593184000000e-03, 1.013679e-01
6.598176000000e-03, 1.038105e-01
6.603168000000e-03, 1.038105e-01
6.608160000000e-03, 1.025892e-01
6.613152000000e-03, 1.062531e-01
6.618144000000e-03, 1.050318e-01
6.623136000000e-03, 1.050318e-01
6.628128000000e-03, 1.050318e-01
6.633120000000e-03, 1.050318e-01
6.638112000000e-03, 1.062531e-01
6.643104000000e-03, 1.062531e-01
6.648096000000e-03, 1.074744e-01
6.653088000000e-03, 1.062531e-01
6.658080000000e-03, 1.074744e-01
6.663072000000e-03, 1.086957e-01
6.668064000000e-03, 1.086957e-01
6.673056000000e-03, 1.074744e-01
6.678048000000e-03, 1.086957e-01
6.683040000000e-03, 1.074744e-01
6.688032000000e-03, 1.062531e-01
6.693024000000e-03, 1.074744e-01
6.698016000000e-03, 1.062531e-01
6.703008000000e-03, 1.050318e-01
6.708000000000e-03, 1.050318e-01
6.712992000000e-03, 1.050318e-01
6.717984000000e-03, 1.050318e-01
6.722976000000e-03, 1.050318e-01
6.727968000000e-03, 1.050318e-01
6.732960000000e-03, 1.025892e-01
6.737952000000e-03, 1.013679e-01
6.742944000000e-03, 1.001466e-01
6.747936000000e-03, 1.001466e-01
6.752928000000e-03, 1.001466e-01
6.757920000000e-03, 1.001466e-01
6.762912000000e-03, 9.770396e-02
6.767904000000e-03, 9.648266e-02
6.772896000000e-03, 9.648266e-02
6.777888000000e-03, 9.648266e-02
6.782880000000e-03, 9.526136e-02
6.787872000000e-03, 9.404006e-02
6.792864000000e-03, 9.159746e-02
6.797856000000e-03, 9.159746e-02
6.802848000000e-03, 8.915487e-02
6.807840000000e-03, 8.793357e-02
6.812832000000e-03, 8.549097e-02
6.817824000000e-03, 8.426967e-02
6.822816000000e-03, 8.426967e-02
6.827808000000e-03, 8.182707e-02
6.832800000000e-03, 8.182707e-02
6.837792000000e-03, 7.938447e-02
6.842784000000e-03, 7.694187e-02
6.847776000000e-03, 7.572057e-02
6.852768000000e-03, 7.449927e-02
6.857760000000e-03, 7.205667e-02
6.862752000000e-03, 7.205667e-02
6.867744000000e-03, 6.961407e-02
6.872736000000e-03, 6.839277e-02
6.877728000000e-03, 6.595017e-02
6.882720000000e-03, 6.472887e-02
6.887712000000e-03, 6.228628e-02
6.892704000000e-03, 5.984368e-02
6.897696000000e-03, 5.740108e-02
6.902688000000e-03, 5.495848e-02
6.907680000000e-03, 5.251588e-02
6.912672000000e-03, 5.129458e-02
6.917664000000e-03, 4.885198e-02
6.922656000000e-03, 4.640938e-02
6.927648000000e-03, 4.396678e-02
6.932640000000e-03, 4.152418e-02
6.937632000000e-03, 4.030288e-02
6.942624000000e-03, 3.786029e-02
6.947616000000e-03, 3.786029e-02
6.952608000000e-03, 3.663899e-02
6.957600000000e-03, 3.419639e-02
6.962592000000e-03, 3.175379e-02
6.967584000000e-03, 2.808989e-02
6.972576000000e-03, 2.442599e-02
6.977568000000e-03, 2.198339e-02
6.982560000000e-03, 2.076209e-02
6.987552000000e-03, 1.831949e-02
6.992544000000e-03, 1.831949e-02
6.997536000000e-03, 1.587689e-02
7.002528000000e-03, 1.343429e-02
7.007520000000e-03, 1.099170e-02
7.012512000000e-03, 8.549097e-03
7.017504000000e-03, 7.327797e-03
7.022496000000e-03, 3.663899e-03
7.027488000000e-03, 2.442599e-03
7.032480000000e-03, 1.221300e-03
