% Moku:Go Spectrum Analyzer
% Input A (on)
% Input B (off)
% Start freq 800 Hz, stop freq 1.076 kHz, RBW 1.349 Hz (Auto mode), Hann window, Video filter off
% Averaging: 1 spectra per frame, 15 frame averages
% 
% Acquired 2026-04-30 T 15:34:08 +0200
% Frequency (Hz), Input A (dBm)
7.998586321870e+02, -8.710850e+01
8.001424638288e+02, -8.649425e+01
8.004262954706e+02, -8.668551e+01
8.007101271124e+02, -8.803655e+01
8.009939587542e+02, -8.967212e+01
8.012777903960e+02, -9.022771e+01
8.015616220378e+02, -9.081101e+01
8.018454536796e+02, -9.065055e+01
8.021292853213e+02, -9.005912e+01
8.024131169631e+02, -8.894418e+01
8.026969486049e+02, -8.859201e+01
8.029807802467e+02, -8.876850e+01
8.032646118885e+02, -8.916619e+01
8.035484435303e+02, -8.808975e+01
8.038322751721e+02, -8.900263e+01
8.041161068139e+02, -8.844732e+01
8.043999384556e+02, -8.903091e+01
8.046837700974e+02, -8.968278e+01
8.049676017392e+02, -8.876286e+01
8.052514333810e+02, -8.811179e+01
8.055352650228e+02, -8.887591e+01
8.058190966646e+02, -8.983820e+01
8.061029283064e+02, -8.800586e+01
8.063867599482e+02, -8.694525e+01
8.066705915900e+02, -8.686233e+01
8.069544232317e+02, -8.761091e+01
8.072382548735e+02, -8.856568e+01
8.075220865153e+02, -8.849209e+01
8.078059181571e+02, -8.850537e+01
8.080897497989e+02, -8.791005e+01
8.083735814407e+02, -8.709883e+01
8.086574130825e+02, -8.649850e+01
8.089412447243e+02, -8.639615e+01
8.092250763660e+02, -8.685442e+01
8.095089080078e+02, -8.752627e+01
8.097927396496e+02, -8.831397e+01
8.100765712914e+02, -8.796203e+01
8.103604029332e+02, -8.971331e+01
8.106442345750e+02, -8.708220e+01
8.109280662168e+02, -8.705682e+01
8.112118978586e+02, -8.755463e+01
8.114957295003e+02, -8.784778e+01
8.117795611421e+02, -8.944366e+01
8.120633927839e+02, -8.868072e+01
8.123472244257e+02, -8.774690e+01
8.126310560675e+02, -8.706894e+01
8.129148877093e+02, -8.684399e+01
8.131987193511e+02, -8.561151e+01
8.134825509929e+02, -8.542268e+01
8.137663826346e+02, -8.459999e+01
8.140502142764e+02, -8.427543e+01
8.143340459182e+02, -8.507005e+01
8.146178775600e+02, -8.520678e+01
8.149017092018e+02, -8.590769e+01
8.151855408436e+02, -8.535031e+01
8.154693724854e+02, -8.546127e+01
8.157532041272e+02, -8.555846e+01
8.160370357689e+02, -8.579891e+01
8.163208674107e+02, -8.586357e+01
8.166046990525e+02, -8.656365e+01
8.168885306943e+02, -8.657181e+01
8.171723623361e+02, -8.693780e+01
8.174561939779e+02, -8.625920e+01
8.177400256197e+02, -8.525959e+01
8.180238572615e+02, -8.431727e+01
8.183076889032e+02, -8.329485e+01
8.185915205450e+02, -8.275636e+01
8.188753521868e+02, -8.322459e+01
8.191591838286e+02, -8.316074e+01
8.194430154704e+02, -8.624024e+01
8.197268471122e+02, -8.380387e+01
8.200106787540e+02, -8.439387e+01
8.202945103958e+02, -8.626004e+01
8.205783420375e+02, -8.618028e+01
8.208621736793e+02, -8.506533e+01
8.211460053211e+02, -8.463985e+01
8.214298369629e+02, -8.535081e+01
8.217136686047e+02, -8.434643e+01
8.219975002465e+02, -8.377662e+01
8.222813318883e+02, -8.328662e+01
8.225651635301e+02, -8.290250e+01
8.228489951718e+02, -8.213760e+01
8.231328268136e+02, -8.134746e+01
8.234166584554e+02, -8.024841e+01
8.237004900972e+02, -7.967874e+01
8.239843217390e+02, -7.992061e+01
8.242681533808e+02, -8.112777e+01
8.245519850226e+02, -8.150701e+01
8.248358166644e+02, -8.072721e+01
8.251196483061e+02, -8.078760e+01
8.254034799479e+02, -8.112512e+01
8.256873115897e+02, -8.007898e+01
8.259711432315e+02, -7.903036e+01
8.262549748733e+02, -7.788677e+01
8.265388065151e+02, -7.831740e+01
8.268226381569e+02, -7.783249e+01
8.271064697987e+02, -7.649585e+01
8.273903014404e+02, -7.677103e+01
8.276741330822e+02, -7.601758e+01
8.279579647240e+02, -7.665755e+01
8.282417963658e+02, -7.588793e+01
8.285256280076e+02, -7.505084e+01
8.288094596494e+02, -7.326902e+01
8.290932912912e+02, -7.127176e+01
8.293771229330e+02, -7.028236e+01
8.296609545747e+02, -7.028490e+01
8.299447862165e+02, -7.122127e+01
8.302286178583e+02, -7.316713e+01
8.305124495001e+02, -7.276079e+01
