% Moku:Go Oscilloscope
% Channel A (Input 1, on), DC, 30 MHz, 1 MOhm, 10 Vpp, 1 x probe attenuation
% Channel B (Input 2, off), DC, 30 MHz, 1 MOhm, 10 Vpp, 1 x probe attenuation
% Time span 7.819 ms, time offset -7.124 ms, Normal acquisition mode, no averaging
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (on) - Square, 900.000 000 Hz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg, duty cycle 50.00 %
% Output 2 (off) - Square, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, duty cycle 50.00 %
% 
% Acquired 2026-04-30 T 15:57:14 +0200
% Time (s), Channel A (Input 1) (V)
3.214080000000e-03, 4.274548e-02
3.221760000000e-03, 4.030288e-02
3.229440000000e-03, 3.786029e-02
3.237120000000e-03, 3.419639e-02
3.244800000000e-03, 3.175379e-02
3.252480000000e-03, 2.808989e-02
3.260160000000e-03, 2.564729e-02
3.267840000000e-03, 2.442599e-02
3.275520000000e-03, 1.954079e-02
3.283200000000e-03, 1.831949e-02
3.290880000000e-03, 1.465559e-02
3.298560000000e-03, 1.099170e-02
3.306240000000e-03, 9.770396e-03
3.313920000000e-03, 6.106498e-03
3.321600000000e-03, 2.442599e-03
3.329280000000e-03, 0.000000e+00
3.336960000000e-03, -4.885198e-03
3.344640000000e-03, -6.106498e-03
3.352320000000e-03, -9.770396e-03
3.360000000000e-03, -1.221300e-02
3.367680000000e-03, -1.465559e-02
3.375360000000e-03, -1.587689e-02
3.383040000000e-03, -1.831949e-02
3.390720000000e-03, -2.198339e-02
3.398400000000e-03, -2.442599e-02
3.406080000000e-03, -2.808989e-02
3.413760000000e-03, -2.931119e-02
3.421440000000e-03, -3.175379e-02
3.429120000000e-03, -3.419639e-02
3.436800000000e-03, -3.541769e-02
3.444480000000e-03, -3.908158e-02
3.452160000000e-03, -4.030288e-02
3.459840000000e-03, -4.396678e-02
3.467520000000e-03, -4.518808e-02
3.475200000000e-03, -4.763068e-02
3.482880000000e-03, -4.763068e-02
3.490560000000e-03, -4.885198e-02
3.498240000000e-03, -5.007328e-02
3.505920000000e-03, -5.129458e-02
3.513600000000e-03, -5.251588e-02
3.521280000000e-03, -5.251588e-02
3.528960000000e-03, -5.251588e-02
3.536640000000e-03, -5.495848e-02
3.544320000000e-03, -5.373718e-02
3.552000000000e-03, -5.373718e-02
3.559680000000e-03, -5.251588e-02
3.567360000000e-03, -5.251588e-02
3.575040000000e-03, -5.373718e-02
3.582720000000e-03, -5.251588e-02
3.590400000000e-03, -5.251588e-02
3.598080000000e-03, -5.251588e-02
3.605760000000e-03, -5.007328e-02
3.613440000000e-03, -5.007328e-02
3.621120000000e-03, -4.885198e-02
3.628800000000e-03, -4.763068e-02
3.636480000000e-03, -4.763068e-02
3.644160000000e-03, -4.640938e-02
3.651840000000e-03, -4.518808e-02
3.659520000000e-03, -4.274548e-02
3.667200000000e-03, -4.274548e-02
3.674880000000e-03, -4.152418e-02
3.682560000000e-03, -4.030288e-02
3.690240000000e-03, -3.786029e-02
3.697920000000e-03, -3.419639e-02
3.705600000000e-03, -3.175379e-02
3.713280000000e-03, -3.053249e-02
3.720960000000e-03, -2.931119e-02
3.728640000000e-03, -2.686859e-02
3.736320000000e-03, -2.320469e-02
3.744000000000e-03, -2.076209e-02
3.751680000000e-03, -1.831949e-02
3.759360000000e-03, -1.587689e-02
3.767040000000e-03, -1.343429e-02
3.774720000000e-03, -9.770396e-03
3.782400000000e-03, -7.327797e-03
3.790080000000e-03, -6.106498e-03
3.797760000000e-03, -3.663899e-03
3.805440000000e-03, 0.000000e+00
3.813120000000e-03, 2.442599e-03
3.820800000000e-03, 6.106498e-03
3.828480000000e-03, 9.770396e-03
3.836160000000e-03, 1.099170e-02
3.843840000000e-03, 1.343429e-02
3.851520000000e-03, 1.709819e-02
3.859200000000e-03, 1.954079e-02
3.866880000000e-03, 2.198339e-02
3.874560000000e-03, 2.564729e-02
3.882240000000e-03, 2.931119e-02
3.889920000000e-03, 3.175379e-02
3.897600000000e-03, 3.541769e-02
3.905280000000e-03, 3.786029e-02
3.912960000000e-03, 4.030288e-02
3.920640000000e-03, 4.274548e-02
3.928320000000e-03, 4.396678e-02
3.936000000000e-03, 4.763068e-02
3.943680000000e-03, 4.885198e-02
3.951360000000e-03, 5.129458e-02
3.959040000000e-03, 5.495848e-02
3.966720000000e-03, 5.740108e-02
3.974400000000e-03, 5.984368e-02
3.982080000000e-03, 6.350758e-02
3.989760000000e-03, 6.472887e-02
3.997440000000e-03, 6.595017e-02
4.005120000000e-03, 6.839277e-02
4.012800000000e-03, 7.083537e-02
4.020480000000e-03, 7.327797e-02
4.028160000000e-03, 7.449927e-02
4.035840000000e-03, 7.572057e-02
4.043520000000e-03, 7.816317e-02
4.051200000000e-03, 7.816317e-02
4.058880000000e-03, 7.938447e-02
4.066560000000e-03, 8.060577e-02
4.074240000000e-03, 8.060577e-02
4.081920000000e-03, 8.182707e-02
4.089600000000e-03, 8.060577e-02
4.097280000000e-03, 8.182707e-02
4.104960000000e-03, 8.060577e-02
4.112640000000e-03, 8.182707e-02
4.120320000000e-03, 8.182707e-02
4.128000000000e-03, 8.304837e-02
4.135680000000e-03, 8.304837e-02
4.143360000000e-03, 8.426967e-02
4.151040000000e-03, 8.304837e-02
4.158720000000e-03, 8.060577e-02
4.166400000000e-03, 8.060577e-02
4.174080000000e-03, 7.938447e-02
4.181760000000e-03, 7.694187e-02
4.189440000000e-03, 7.694187e-02
4.197120000000e-03, 7.694187e-02
4.204800000000e-03, 7.572057e-02
4.212480000000e-03, 7.327797e-02
4.220160000000e-03, 7.327797e-02
4.227840000000e-03, 7.083537e-02
4.235520000000e-03, 6.961407e-02
4.243200000000e-03, 6.717147e-02
4.250880000000e-03, 6.595017e-02
4.258560000000e-03, 6.350758e-02
4.266240000000e-03, 6.228628e-02
4.273920000000e-03, 5.984368e-02
4.281600000000e-03, 5.862238e-02
4.289280000000e-03, 5.617978e-02
4.296960000000e-03, 5.373718e-02
4.304640000000e-03, 5.007328e-02
4.312320000000e-03, 4.640938e-02
4.320000000000e-03, 4.396678e-02
4.327680000000e-03, 4.152418e-02
4.335360000000e-03, 3.908158e-02
4.343040000000e-03, 3.541769e-02
4.350720000000e-03, 3.419639e-02
4.358400000000e-03, 3.053249e-02
4.366080000000e-03, 2.686859e-02
4.373760000000e-03, 2.198339e-02
