% Moku:Go Spectrum Analyzer
% Input 1 (on), AC, 30 MHz, 1 MOhm, 10 Vpp
% Input 2 (off), AC, 30 MHz, 1 MOhm, 10 Vpp
% Start freq 400 Hz, stop freq 600 Hz, RBW 977.5 mHz (Auto mode), Hann window, Video filter off
% Averaging: 1 spectra per frame, 10 frame averages
% Output 1 (on) - 500.000 000 Hz, 1.000 Vpp
% Output 2 (off) - 20.000 000 000 000 MHz, 1.000 Vpp
% 
% Acquired 2026-04-30 T 13:18:33 +0200
% Frequency (Hz), Input 1 (dBm)
4.303300132354e+02, -8.405528e+01
4.305286953847e+02, -8.299766e+01
4.307273775339e+02, -8.240555e+01
4.309260596832e+02, -8.284585e+01
4.311247418324e+02, -8.430437e+01
4.313234239817e+02, -8.540811e+01
4.315221061309e+02, -8.547905e+01
4.317207882802e+02, -8.421092e+01
4.319194704294e+02, -8.306140e+01
4.321181525787e+02, -8.131482e+01
4.323168347279e+02, -7.988424e+01
4.325155168772e+02, -7.967703e+01
4.327141990264e+02, -8.051705e+01
4.329128811757e+02, -8.164743e+01
4.331115633249e+02, -8.373366e+01
4.333102454742e+02, -8.416579e+01
4.335089276234e+02, -8.269863e+01
4.337076097727e+02, -8.155542e+01
4.339062919219e+02, -8.135876e+01
4.341049740712e+02, -8.178167e+01
4.343036562204e+02, -8.227101e+01
4.345023383697e+02, -8.217834e+01
4.347010205189e+02, -8.093327e+01
4.348997026682e+02, -8.033609e+01
4.350983848174e+02, -8.038675e+01
4.352970669667e+02, -8.102634e+01
4.354957491159e+02, -8.204667e+01
4.356944312652e+02, -8.328260e+01
4.358931134144e+02, -8.454210e+01
4.360917955637e+02, -8.386160e+01
4.362904777129e+02, -8.279465e+01
4.364891598622e+02, -8.290125e+01
4.366878420115e+02, -8.318034e+01
4.368865241607e+02, -8.280465e+01
4.370852063100e+02, -8.219830e+01
4.372838884592e+02, -8.172360e+01
4.374825706085e+02, -8.133322e+01
4.376812527577e+02, -8.102697e+01
4.378799349070e+02, -8.124960e+01
4.380786170562e+02, -8.222467e+01
4.382772992055e+02, -8.281732e+01
4.384759813547e+02, -8.208168e+01
4.386746635040e+02, -8.171055e+01
4.388733456532e+02, -8.212133e+01
4.390720278025e+02, -8.237096e+01
4.392707099517e+02, -8.246525e+01
4.394693921010e+02, -8.324916e+01
4.396680742502e+02, -8.289603e+01
4.398667563995e+02, -8.184372e+01
4.400654385487e+02, -8.120115e+01
4.402641206980e+02, -8.181572e+01
4.404628028472e+02, -8.218813e+01
4.406614849965e+02, -8.118177e+01
4.408601671457e+02, -8.097468e+01
4.410588492950e+02, -8.117825e+01
4.412575314442e+02, -8.177792e+01
4.414562135935e+02, -8.208497e+01
4.416548957427e+02, -8.235356e+01
4.418535778920e+02, -8.368871e+01
4.420522600412e+02, -8.613052e+01
4.422509421905e+02, -8.603241e+01
4.424496243397e+02, -8.469670e+01
4.426483064890e+02, -8.446677e+01
4.428469886382e+02, -8.482269e+01
4.430456707875e+02, -8.662079e+01
4.432443529367e+02, -8.763766e+01
4.434430350860e+02, -8.422810e+01
4.436417172352e+02, -8.412097e+01
4.438403993845e+02, -8.453938e+01
4.440390815337e+02, -8.255611e+01
4.442377636830e+02, -8.072358e+01
4.444364458323e+02, -7.964864e+01
4.446351279815e+02, -7.920689e+01
4.448338101308e+02, -7.935353e+01
4.450324922800e+02, -7.981102e+01
4.452311744293e+02, -8.048500e+01
4.454298565785e+02, -8.158952e+01
4.456285387278e+02, -8.360431e+01
4.458272208770e+02, -8.345735e+01
4.460259030263e+02, -8.246213e+01
4.462245851755e+02, -8.208992e+01
4.464232673248e+02, -8.140216e+01
4.466219494740e+02, -8.066665e+01
4.468206316233e+02, -7.999269e+01
4.470193137725e+02, -7.958803e+01
4.472179959218e+02, -7.977124e+01
4.474166780710e+02, -8.037122e+01
4.476153602203e+02, -8.136726e+01
4.478140423695e+02, -8.209289e+01
4.480127245188e+02, -8.240828e+01
4.482114066680e+02, -8.462395e+01
4.484100888173e+02, -8.618602e+01
4.486087709665e+02, -8.609900e+01
4.488074531158e+02, -8.444093e+01
4.490061352650e+02, -8.446683e+01
4.492048174143e+02, -8.486167e+01
4.494034995635e+02, -8.276037e+01
4.496021817128e+02, -8.232150e+01
4.498008638620e+02, -8.317847e+01
4.499995460113e+02, -8.456676e+01
4.501982281605e+02, -8.510640e+01
4.503969103098e+02, -8.458801e+01
4.505955924590e+02, -8.436944e+01
4.507942746083e+02, -8.320650e+01
4.509929567575e+02, -8.136287e+01
4.511916389068e+02, -8.065883e+01
4.513903210560e+02, -8.105551e+01
4.515890032053e+02, -8.441231e+01
4.517876853546e+02, -8.089349e+01
4.519863675038e+02, -8.007053e+01
4.521850496531e+02, -8.041120e+01
4.523837318023e+02, -8.139141e+01
4.525824139516e+02, -8.174118e+01
4.527810961008e+02, -8.138369e+01
4.529797782501e+02, -8.132684e+01
4.531784603993e+02, -8.193796e+01
4.533771425486e+02, -8.320684e+01
4.535758246978e+02, -8.418196e+01
4.537745068471e+02, -8.280670e+01
4.539731889963e+02, -8.212068e+01
4.541718711456e+02, -8.281005e+01
4.543705532948e+02, -8.323254e+01
4.545692354441e+02, -8.280687e+01
4.547679175933e+02, -8.279074e+01
4.549665997426e+02, -8.259529e+01
4.551652818918e+02, -8.213352e+01
4.553639640411e+02, -8.187346e+01
4.555626461903e+02, -8.167642e+01
4.557613283396e+02, -8.114745e+01
4.559600104888e+02, -8.246522e+01
4.561586926381e+02, -8.283757e+01
4.563573747873e+02, -8.471758e+01
4.565560569366e+02, -8.812136e+01
4.567547390858e+02, -8.675101e+01
4.569534212351e+02, -8.494434e+01
4.571521033843e+02, -8.496377e+01
4.573507855336e+02, -8.468212e+01
4.575494676828e+02, -8.580849e+01
4.577481498321e+02, -8.739760e+01
4.579468319813e+02, -8.635037e+01
4.581455141306e+02, -8.595911e+01
4.583441962798e+02, -8.374205e+01
